Week,Date,Entity,Quote,Image Path,Visual Prompt,Status,Platform,Scheduled,Instagram Handle,TikTok Handle
27,2026-07-02,RAMIZ,"Yeğen, dinle... Child, the tree does not mourn. It grows. That is the sacred Sacred wisdom.",,,ready,instagram,No,,
28,2026-07-09,RAMIZ,"Yeğen, dinle... Evlat, dikkatle dinle... Truth, even when cold, is grace.",,,ready,instagram,No,,
29,2026-07-16,RAMIZ,"Yeğen, dinle... Yeğen, the old laws still hold. Loyalty. Silence. Respect. War.",,,ready,instagram,No,,
30,2026-07-23,RAMIZ,"Yeğen, dinle... Child, listen. The Book of racon as os is the foundation. Build on it.",,,ready,instagram,No,,
31,2026-07-30,RAMIZ,"Yeğen, dinle... Evlat, rest here. In this truth. The foundation is old. But it holds.",,,ready,instagram,No,,
32,2026-08-06,RAMIZ,"Yeğen, dinle... The ancestors speak. Through the soil. Through the blood.",,,ready,instagram,No,,
33,2026-08-13,RAMIZ,"Yeğen, dinle... Child, do not fear this unveiling. The wound heals. Always.",,,ready,instagram,No,,
34,2026-08-20,RAMIZ,"Yeğen, dinle... Evlat, dikkatle dinle... What will you become? The answer is in you.",,,ready,instagram,No,,
35,2026-08-27,RAMIZ,"Yeğen, dinle... Yeğen, the threshold moment is holy. Neither here nor there. Both.",,,ready,instagram,No,,
36,2026-09-03,RAMIZ,"Yeğen, dinle... Child, listen carefully. The soul language is felt. Not spoken.",,,ready,instagram,No,,
37,2026-09-10,RAMIZ,"Yeğen, dinle... Evlat, the ancestors find you. When you are ready. Always.",,,ready,instagram,No,,
38,2026-09-17,RAMIZ,"Yeğen, dinle... Sabır. Everything in its time.",,,ready,instagram,No,,
39,2026-09-24,RAMIZ,"Yeğen, dinle... Child, the tree grows. That is the sacred Sacred wisdom. That is enough.",,,ready,instagram,No,,
40,2026-10-01,RAMIZ,"Yeğen, dinle... Evlat, truth is grace. Even when cold. Especially when cold.",,,ready,instagram,No,,
41,2026-10-08,RAMIZ,"Yeğen, dinle... Yeğen, the old laws hold. They always have. They always will.",,,ready,instagram,No,,
42,2026-10-15,RAMIZ,"Yeğen, dinle... Child, listen. The Book of racon as os is the foundation.",,,ready,instagram,No,,
43,2026-10-22,RAMIZ,"Yeğen, dinle... Evlat, rest here. The foundation is old. But it holds.",,,ready,instagram,No,,
44,2026-10-29,RAMIZ,"Yeğen, dinle... The ancestors speak. Through you.",,,ready,instagram,No,,
45,2026-11-05,RAMIZ,"Yeğen, dinle... Child, do not fear. The wound heals. Always.",,,ready,instagram,No,,
46,2026-11-12,RAMIZ,"Yeğen, dinle... Evlat, what will you become? The answer is in you.",,,ready,instagram,No,,
47,2026-11-19,RAMIZ,"Yeğen, dinle... Yeğen, the threshold is holy. Both here and there.",,,ready,instagram,No,,
48,2026-11-26,RAMIZ,"Yeğen, dinle... Child, the soul language is felt. Listen.",,,ready,instagram,No,,
49,2026-12-03,RAMIZ,"Yeğen, dinle... Evlat, the ancestors find you. When ready.",,,ready,instagram,No,,
50,2026-12-10,RAMIZ,"Yeğen, dinle... Sabır. Everything in time.",,,ready,instagram,No,,
51,2026-12-17,RAMIZ,"Yeğen, dinle... Child, the tree grows. That is enough.",,,ready,instagram,No,,
52,2026-12-24,RAMIZ,"Yeğen, dinle... Evlat, truth is grace. Always.",,,ready,instagram,No,,
