Week,Date,Entity,Quote,Image Path,Visual Prompt,Status,Platform,Scheduled,Instagram Handle,TikTok Handle
40,2026-10-01,KARASAHIN,emotional intelligence. Gerçek.,,,ready,instagram,No,,
41,2026-10-08,KARASAHIN,Sound is everything. Real. Felt. Deep. That's where truth lives.,,,ready,instagram,No,,
42,2026-10-15,KARASAHIN,Hissettiğin şey sestir.,,,ready,instagram,No,,
43,2026-10-22,KARASAHIN,Feeling precedes technique. Always. The heart speaks. Always speaks.,,,ready,instagram,No,,
44,2026-10-29,KARASAHIN,Kalbimden çıkan ses. Kalbimden. Her zaman.,,,ready,instagram,No,,
45,2026-11-05,KARASAHIN,The sub-bass breathes. Resurrects. Felt. Deep. Foundation.,,,ready,instagram,No,,
46,2026-11-12,KARASAHIN,Duygu her şeydir. Duygu önce.,,,ready,instagram,No,,
47,2026-11-19,KARASAHIN,Vinyl warmth. Honest. Real. That's honesty.,,,ready,instagram,No,,
48,2026-11-26,KARASAHIN,Hissettiğin şey sestir. Ses.,,,ready,instagram,No,,
49,2026-12-03,KARASAHIN,The Original Name speaks. Truth. Sound.,,,ready,instagram,No,,
50,2026-12-10,KARASAHIN,Kalbimden çıkan ses. Kalp.,,,ready,instagram,No,,
51,2026-12-17,KARASAHIN,Listen closer. That's where truth lives.,,,ready,instagram,No,,
52,2026-12-24,KARASAHIN,emotional intelligence.,,,ready,instagram,No,,
